campaign,cloud_id,flight_id,duration_s,H_m,cloud_depth,lat_median,lon_median,Nd_median,re_cas_median,re_full_median,tau_main,tau_full,tau_diff,f_ad_mean,f_ad_median,k_median,c_w_median,LWP_insitu,drizzle_regime,drizzle_fraction,dominant_mixing_regime,mean_z_drizzle,min_z_drizzle,max_z_drizzle,match_status,modis_file,delta_t_min,n_pixels_valid_21,n_pixels_valid_37,Re_MODIS_21,Re_MODIS_37,tau_MODIS_21,tau_MODIS_37,Re_MODIS_21_paired37,tau_MODIS_21_paired37,dRe_37_21,dtau_37_21,SZA_mean,VZA_mean,LWP_MODIS,CTT_MODIS,CTP_MODIS,Nd_MODIS_21_calc,Nd_MODIS_37_calc,Nd_MODIS_21_paired37_calc,Nd_MODIS_21_lit,Nd_MODIS_37_lit,Nd_MODIS_21_paired37_lit,bias_21_calc,bias_37_calc,dNd_calc,bias_21_lit,bias_37_lit,dNd_lit,inflation_21,drizzle_regime_clean,drizzle_state
POST,RF01_P10,RF01,448.0,512.4059753417969,611.6748352050781,37.04674530029297,-123.76644897460938,176.49451945722103,8.765292707266912,8.938025430291463,18.709832053384407,15.542482963470622,3.1673490899137846,0.2407726675094776,0.2407726675094776,0.4680432348602524,0.0037931105594799,124.80118697168896,non_drizzling,0.0089086859688195,strongly_mixed,0.4626655554425228,0.3882125857035653,0.5842873857333608,MATCHED,MOD06_L2.A2008198.1945.061.2017292134601.hdf,87.0,155.0,155.0,9.415870666503906,9.770966529846191,29.481353759765625,29.699546813964844,9.415870666503906,29.481353759765625,0.3550958633422851,0.2181930541992187,17.52402114868164,53.3529052734375,176.3225860595703,282.800048828125,930.0,324.28585547786884,296.713019880783,324.28585547786884,269.2970278026879,246.39969031800044,269.2970278026879,1.8373706813965385,1.6811457987096348,27.572835597085827,1.5258095754523442,1.3960755896316832,22.897337484687483,0.8304310017032683,non_drizzling,Non
POST,RF02_P02,RF02,184.0,208.9173889160156,208.9173889160156,36.93018341064453,-122.42384338378906,258.1372406631708,8.308275149993921,8.729329751132479,9.026550987386182,8.77354905702972,0.2530019303564614,0.6314187761596701,0.6314187761596701,0.7186046654156499,0.0034563446544057,59.26809109693821,weak_drizzling,0.0162162162162162,sub_adiabatic,0.6819804680403497,0.5553834532517378,0.8993338967642367,MATCHED,MOD06_L2.A2008199.1850.061.2017292150009.hdf,61.3,287.0,287.0,7.281950950622559,7.382021427154541,12.746411323547363,12.749338150024414,7.281950950622559,12.746411323547363,0.1000704765319824,0.0029268264770507,24.21853828430176,24.33756828308105,58.62369155883789,281.88067626953125,848.6585083007812,408.1708275164184,394.5235543402609,408.1708275164184,336.6539013397233,325.3978108803493,336.6539013397233,1.5812163578869975,1.528348073012267,13.647273176157457,1.3041663437434996,1.2605612814500606,11.25609045937398,0.8247867771152305,weak_drizzling,Transition
POST,RF02_P04,RF02,2925.0,273.7406311035156,273.7406311035156,36.88456726074219,-123.91829299926758,153.93473621830344,7.454079223996218,7.980978012424098,6.002392566575465,5.3630772848882975,0.6393152816871677,0.2795364398937339,0.2795364398937339,0.8532942994097906,0.0034761935301814,44.860161262876254,weak_drizzling,0.0225563909774436,strongly_mixed,0.4099996319572206,0.1242332677137995,0.7065882814928909,MATCHED,MOD06_L2.A2008199.1850.061.2017292150009.hdf,17.0,287.0,287.0,8.183484077453613,8.10567855834961,10.027874946594238,9.984843254089355,8.183484077453613,10.027874946594238,-0.0778055191040039,-0.0430316925048828,25.15726089477539,33.52504348754883,51.843204498291016,281.6000061035156,907.526123046875,151.95721675448218,155.29578301631946,151.95721675448218,223.0323759024116,227.9324943791028,223.0323759024116,0.9871535203008576,1.0088417132575318,-3.338566261837286,1.448876201574912,1.4807086430177718,-4.900118476691205,1.467731382990291,weak_drizzling,Transition
POST,RF02_P15,RF02,3137.0,229.671875,229.671875,36.3360710144043,-123.85214614868164,122.78040581941605,8.655264678401565,9.014994690516616,5.082057830650876,4.823569497157961,0.2584883334929149,0.3576981032403867,0.3576981032403867,0.8615180743624091,0.0034400851833791,40.69341541348152,weak_drizzling,0.0165710643722116,strongly_mixed,0.3040376946113132,0.0817643000291282,0.4670524483174739,MATCHED,MOD06_L2.A2008199.1850.061.2017292150009.hdf,88.9,289.0,289.0,11.846885681152344,12.047647476196287,13.444221496582031,13.48934268951416,11.846885681152344,13.444221496582031,0.2007617950439453,0.0451211929321289,24.833620071411133,32.52791976928711,102.14533233642578,281.09002685546875,905.0,77.77248843694522,74.69790567020254,77.77248843694522,102.41566653717696,98.36686406591537,102.41566653717696,0.6334275238618454,0.6083862092789246,3.0745827667426795,0.8341368954897307,0.8011609296241631,4.048802471261595,1.3168624097737522,weak_drizzling,Transition
POST,RF02_P28,RF02,1130.0,205.6005249023437,208.9912109375,36.0716667175293,-123.75154113769533,91.81849583610892,8.381008526414641,9.021905394631933,5.693237557020333,4.7713187014456055,0.9219188555747272,0.3765752029269703,0.3765752029269703,0.8557940891808353,0.0034502805535695,36.8261706392954,non_drizzling,0.008841732979664,strongly_mixed,0.4149619862926495,0.2505495190718155,0.5972137984574769,MATCHED,MYD06_L2.A2008199.2205.061.2018036015202.hdf,57.7,103.0,103.0,7.737959861755371,8.496116638183594,5.364076614379883,5.509028911590576,7.737959861755371,5.364076614379883,0.7581567764282227,0.1449522972106933,27.8045597076416,58.22799301147461,26.145631790161133,281.6999206542969,905.0,147.38565728099474,118.23887228024618,147.38565728099474,187.62485301519231,150.5204199752479,187.62485301519231,1.605184837095025,1.2877456900546074,29.14678500074855,2.0434320047029804,1.639325700171769,37.10443303994441,1.2730197529158516,non_drizzling,Non
POST,RF04_P01,RF04,300.0,481.1006164550781,481.1006164550781,36.98857498168945,-122.4229965209961,109.31971748173235,11.2374727880972,11.797669612532284,23.73326070414989,22.678127532812205,1.0551331713376868,0.3827405278147224,0.3827405278147224,0.8451812648943812,0.0032415025170804,172.07143237794625,heavy_drizzling,0.4684385382059801,strongly_mixed,0.5346375641994394,0.0,0.924367695405546,MATCHED,MOD06_L2.A2008203.1825.061.2017292174501.hdf,34.6,140.0,140.0,15.040571212768556,16.0511417388916,18.1267147064209,18.29385757446289,15.040571212768556,18.1267147064209,1.0105705261230469,0.1671428680419922,28.99145126342773,54.80533981323242,172.6999969482422,278.9659729003906,809.1071166992188,50.89374458094367,43.456375818938106,50.89374458094367,65.47986639275358,55.91095145321284,65.47986639275358,0.4655495436077043,0.3975163567926325,7.437368762005562,0.5989758105960661,0.5114443463737978,9.56891493954074,1.286599501213975,heavy_drizzling,Heavy
POST,RF04_P04,RF04,147.0,393.2989501953125,393.2989501953125,37.22087097167969,-123.16558456420898,61.070148691535,12.833512490374932,15.30481981772088,9.23144154475825,8.106365952021957,1.1250755927362928,0.3094871206765138,0.3094871206765138,0.732387696764107,0.0031799394218791,79.80007449279583,heavy_drizzling,0.7635135135135135,strongly_mixed,0.4093002678992762,0.0,0.9465826894337356,MATCHED,MOD06_L2.A2008203.1825.061.2017292174501.hdf,10.1,124.0,124.0,15.725645065307615,16.94717788696289,13.397337913513184,13.495481491088867,15.725645065307615,13.397337913513184,1.2215328216552734,0.0981435775756836,29.633852005004883,57.33624649047852,136.53225708007812,278.6900329589844,855.0,40.23165442684961,33.49118631836072,40.23165442684961,50.36132446067301,41.92371715208861,50.36132446067301,0.6587777382049531,0.5484051870828827,6.740468108488891,0.8246471564208528,0.6864846090983844,8.437607308584397,1.2517835813150928,heavy_drizzling,Heavy
POST,RF04_P05,RF04,384.0,399.658447265625,401.2059326171875,36.99729537963867,-123.79724884033205,103.051180485636,10.083171513310395,10.88187954265444,12.260611329066526,11.90874840565633,0.3518629234101951,0.540629663747622,0.540629663747622,0.799749721138323,0.0031294730385895,103.59550870654782,weak_drizzling,0.0363636363636363,sub_adiabatic,0.3991427019268384,0.175760615663104,0.6291032285621577,MATCHED,MOD06_L2.A2008203.1825.061.2017292174501.hdf,9.6,114.0,114.0,12.954562187194824,14.379297256469728,19.29587745666504,19.659648895263672,12.954562187194824,19.29587745666504,1.4247350692749023,0.3637714385986328,29.97027969360352,59.12374114990234,162.1666717529297,278.0938415527344,855.0,94.12326792019812,73.19228501193577,94.12326792019812,98.12608600914744,76.30496276836158,98.12608600914744,0.9133642863345722,0.7102517862193517,20.93098290826235,0.9522072968666764,0.7404569497289505,21.82112324078585,1.0425274023883562,weak_drizzling,Transition
POST,RF04_P15,RF04,128.0,242.23504638671875,242.2350463867189,37.16957092285156,-123.28142547607422,84.25490291416645,11.08472316448348,11.892797600259527,6.047068725506602,5.498859827919941,0.5482088975866608,0.3843285457013347,0.3843285457013347,0.7896263166725139,0.0031144108912912,44.44544980199477,heavy_drizzling,0.5038759689922481,strongly_mixed,0.3807694119914074,0.0061701596385185,0.8238911766062056,MATCHED,MYD06_L2.A2008203.2140.061.2018036023957.hdf,56.8,240.0,239.0,14.288041114807127,14.818744659423828,7.03054141998291,7.08958101272583,14.276945114135742,7.043179512023926,0.5417995452880859,0.0464015007019043,24.977277755737305,34.97101593017578,64.5374984741211,279.8363037109375,879.6875,37.88527598851148,34.728781486593924,37.99303186297914,46.363020064782674,42.50018380166141,46.49488891461122,0.4496506989878867,0.412187069065564,3.2642503763852133,0.5502708858618516,0.5044238653382332,3.994705112949809,1.223774114218992,heavy_drizzling,Heavy
POST,RF07_P14,RF07,474.0,208.84149169921875,224.14404296875,35.77820587158203,-122.99646759033205,10.725241057574747,10.198959145414724,10.671831522913578,4.269644757874268,4.007270469770177,0.2623742881040911,0.3754612576775505,0.3754612576775505,0.7738775798517424,0.003853390410858,37.29464664239999,moderate_drizzling,0.071578947368421,strongly_mixed,0.4963139978416311,0.2575448605249407,0.6050795952971364,MATCHED,MYD06_L2.A2008212.2135.061.2018035225523.hdf,69.6,335.0,335.0,14.667791366577148,16.17047882080078,8.619880676269531,8.761820793151855,14.667791366577148,8.619880676269531,1.5026874542236328,0.1419401168823242,24.79081153869629,25.1239070892334,80.94029998779297,287.0296630859375,985.0,44.07179707362392,34.81864979630277,44.07179707362392,48.07816433445324,37.98385538973825,48.07816433445324,4.109166109837505,3.2464211861897456,9.253147277321148,4.482711770892816,3.5415386177182464,10.094308944714989,1.0909054662358448,moderate_drizzling,Transition
