group_type,group,subgroup,metric,value,ci_lower,ci_upper,n
state,Non,,bias_21_calc,1.1759594046876534,0.9650884443619054,1.6128863105367324,21
state,Non,,bias_21_lit,1.0696139239500502,0.8179844759330194,1.5258095754523442,21
state,Non,,inflation_21,1.037445366493031,0.9167330138780336,1.1083066326187905,21
state,Non,,dNd_calc,3.6503347928561993,0.8073751469847537,10.419245638476582,21
state,Non,,dRe_37_21,0.0860004425048828,0.0085716247558593,0.2078652381896972,21
state,Transition,,bias_21_calc,0.8988100852181696,0.7748734969820034,1.4234484465681847,23
state,Transition,,bias_21_lit,0.9341335359008052,0.8503456563745596,1.448876201574912,23
state,Transition,,inflation_21,1.088413571421435,0.99850162228092,1.2019005751149014,23
state,Transition,,dNd_calc,6.997544478471809,3.12466357833663,10.60604425586699,23
state,Transition,,dRe_37_21,0.2855567932128906,0.1552467346191406,0.5752267837524414,23
state,Heavy,,bias_21_calc,0.7365222548229471,0.4655495436077043,0.8892091414751839,8
state,Heavy,,bias_21_lit,0.7673300345762868,0.5989758105960661,0.9475347517849062,8
state,Heavy,,inflation_21,1.206313469785859,0.9543527159211252,1.2517835813150928,8
state,Heavy,,dNd_calc,5.32014862497488,0.6039585947819006,7.437368762005562,8
state,Heavy,,dRe_37_21,0.41918182373046875,0.0345392227172851,1.0105705261230469,8
state_campaign,Non,POST,bias_21_calc,1.605184837095025,0.9700683119565768,1.8373706813965385,9
state_campaign,Non,POST,bias_21_lit,1.5258095754523442,0.9479248638105084,2.1626631786176804,9
state_campaign,Non,POST,inflation_21,1.042683338001696,0.9167330138780336,1.195211193840782,9
state_campaign,Non,MASE,bias_21_calc,0.957538907643205,0.6858992653489915,1.295449536337512,4
state_campaign,Non,MASE,bias_21_lit,0.7650418062220038,0.7012272173648941,0.8221814319932206,4
state_campaign,Non,MASE,inflation_21,0.818551392025976,0.6314290545393383,1.0381978411198125,4
state_campaign,Non,VOCALS,bias_21_calc,1.1353478997665656,0.6800491696257496,2.6145362693358525,8
state_campaign,Non,VOCALS,bias_21_lit,1.0530359235427462,0.689718752689556,2.8513474000364902,8
state_campaign,Non,VOCALS,inflation_21,1.0640100891773563,0.7803506769192,1.1237521549059966,8
state_campaign,Transition,POST,bias_21_calc,1.1650672977149459,0.8526966118848793,2.08393141843772,16
state_campaign,Transition,POST,bias_21_lit,1.3765212726592058,0.9271139274895583,2.504678370320308,16
state_campaign,Transition,POST,inflation_21,1.1931665199837467,1.088413571421435,1.2743084932780335,16
state_campaign,Transition,MASE,bias_21_calc,0.656620195147214,0.4517644857313517,0.6928950959743316,5
state_campaign,Transition,MASE,bias_21_lit,0.631584419121837,0.4709605005988345,0.6589017878224092,5
state_campaign,Transition,MASE,inflation_21,0.99850162228092,0.9260684143425046,1.0424911994496575,5
state_campaign,Transition,VOCALS,bias_21_calc,,,,2
state_campaign,Transition,VOCALS,bias_21_lit,,,,2
state_campaign,Transition,VOCALS,inflation_21,,,,2
state_campaign,Heavy,POST,bias_21_calc,0.6587777382049531,0.4496506989878867,0.77490123082537,5
state_campaign,Heavy,POST,bias_21_lit,0.6861940188053487,0.5502708858618516,0.8246471564208528,5
state_campaign,Heavy,POST,inflation_21,1.223774114218992,0.9543527159211252,1.286599501213975,5
state_campaign,Heavy,MASE,bias_21_calc,,,,1
state_campaign,Heavy,MASE,bias_21_lit,,,,1
state_campaign,Heavy,MASE,inflation_21,,,,1
state_campaign,Heavy,VOCALS,bias_21_calc,,,,2
state_campaign,Heavy,VOCALS,bias_21_lit,,,,2
state_campaign,Heavy,VOCALS,inflation_21,,,,2
