campaign,cloud_id,flight_id,duration_s,H_m,cloud_depth,lat_median,lon_median,Nd_median,re_cas_median,re_full_median,tau_main,tau_full,tau_diff,f_ad_mean,f_ad_median,k_median,c_w_median,LWP_insitu,drizzle_regime,drizzle_fraction,dominant_mixing_regime,mean_z_drizzle,min_z_drizzle,max_z_drizzle,match_status,modis_file,delta_t_min,n_pixels_valid_21,n_pixels_valid_37,Re_MODIS_21,Re_MODIS_37,tau_MODIS_21,tau_MODIS_37,Re_MODIS_21_paired37,tau_MODIS_21_paired37,dRe_37_21,dtau_37_21,SZA_mean,VZA_mean,LWP_MODIS,CTT_MODIS,CTP_MODIS,Nd_MODIS_21_calc,Nd_MODIS_37_calc,Nd_MODIS_21_paired37_calc,Nd_MODIS_21_lit,Nd_MODIS_37_lit,Nd_MODIS_21_paired37_lit,bias_21_calc,bias_37_calc,dNd_calc,bias_21_lit,bias_37_lit,dNd_lit,inflation_21,drizzle_regime_clean
POST,RF01_P04,RF01,489.0,416.66075134277344,417.1139373779297,36.87788772583008,-122.72382736206056,67.32146328687668,2.432904625723752,2.6131502226071985,15.224430026990811,14.84617440022695,0.3782556267638615,0.3153145609674846,0.3153145609674846,0.1800806327767484,0.0036298468120642,157.90600185302168,non_drizzling,0.0081632653061224,strongly_mixed,0.5381217917968111,0.4095987562764809,0.6644006786806501,NO_VALID_PIXELS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,non_drizzling
POST,RF01_P10,RF01,448.0,512.4059753417969,611.6748352050781,37.04674530029297,-123.76644897460938,176.49451945722103,8.765292707266912,8.938025430291463,18.709832053384407,15.542482963470622,3.1673490899137846,0.2407726675094776,0.2407726675094776,0.4680432348602524,0.0037931105594799,124.80118697168896,non_drizzling,0.0089086859688195,strongly_mixed,0.4626655554425228,0.3882125857035653,0.5842873857333608,MATCHED,MOD06_L2.A2008198.1945.061.2017292134601.hdf,87.0,155.0,155.0,9.415870666503906,9.770966529846191,29.481353759765625,29.699546813964844,9.415870666503906,29.481353759765625,0.3550958633422851,0.2181930541992187,17.52402114868164,53.3529052734375,176.3225860595703,282.800048828125,930.0,324.28585547786884,296.713019880783,324.28585547786884,269.2970278026879,246.39969031800044,269.2970278026879,1.8373706813965385,1.6811457987096348,27.572835597085827,1.5258095754523442,1.3960755896316832,22.897337484687483,0.8304310017032683,non_drizzling
POST,RF02_P02,RF02,184.0,208.9173889160156,208.9173889160156,36.93018341064453,-122.42384338378906,258.1372406631708,8.308275149993921,8.729329751132479,9.026550987386182,8.77354905702972,0.2530019303564614,0.6314187761596701,0.6314187761596701,0.7186046654156499,0.0034563446544057,59.26809109693821,weak_drizzling,0.0162162162162162,sub_adiabatic,0.6819804680403497,0.5553834532517378,0.8993338967642367,MATCHED,MOD06_L2.A2008199.1850.061.2017292150009.hdf,61.3,287.0,287.0,7.281950950622559,7.382021427154541,12.746411323547363,12.749338150024414,7.281950950622559,12.746411323547363,0.1000704765319824,0.0029268264770507,24.21853828430176,24.33756828308105,58.62369155883789,281.88067626953125,848.6585083007812,408.1708275164184,394.5235543402609,408.1708275164184,336.6539013397233,325.3978108803493,336.6539013397233,1.5812163578869975,1.528348073012267,13.647273176157457,1.3041663437434996,1.2605612814500606,11.25609045937398,0.8247867771152305,weak_drizzling
POST,RF02_P04,RF02,2925.0,273.7406311035156,273.7406311035156,36.88456726074219,-123.91829299926758,153.93473621830344,7.454079223996218,7.980978012424098,6.002392566575465,5.3630772848882975,0.6393152816871677,0.2795364398937339,0.2795364398937339,0.8532942994097906,0.0034761935301814,44.860161262876254,weak_drizzling,0.0225563909774436,strongly_mixed,0.4099996319572206,0.1242332677137995,0.7065882814928909,MATCHED,MOD06_L2.A2008199.1850.061.2017292150009.hdf,17.0,287.0,287.0,8.183484077453613,8.10567855834961,10.027874946594238,9.984843254089355,8.183484077453613,10.027874946594238,-0.0778055191040039,-0.0430316925048828,25.15726089477539,33.52504348754883,51.843204498291016,281.6000061035156,907.526123046875,151.95721675448218,155.29578301631946,151.95721675448218,223.03237590241156,227.93249437910276,223.03237590241156,0.9871535203008576,1.0088417132575318,-3.338566261837286,1.448876201574912,1.4807086430177718,-4.900118476691205,1.467731382990291,weak_drizzling
POST,RF02_P15,RF02,3137.0,229.671875,229.671875,36.3360710144043,-123.85214614868164,122.78040581941605,8.655264678401565,9.014994690516616,5.082057830650876,4.823569497157961,0.2584883334929149,0.3576981032403867,0.3576981032403867,0.8615180743624091,0.0034400851833791,40.69341541348152,weak_drizzling,0.0165710643722116,strongly_mixed,0.3040376946113132,0.0817643000291282,0.4670524483174739,MATCHED,MOD06_L2.A2008199.1850.061.2017292150009.hdf,88.9,289.0,289.0,11.846885681152344,12.047647476196287,13.444221496582031,13.48934268951416,11.846885681152344,13.444221496582031,0.2007617950439453,0.0451211929321289,24.833620071411133,32.52791976928711,102.14533233642578,281.09002685546875,905.0,77.77248843694522,74.69790567020254,77.77248843694522,102.41566653717696,98.36686406591537,102.41566653717696,0.6334275238618454,0.6083862092789246,3.0745827667426795,0.8341368954897307,0.8011609296241631,4.048802471261595,1.3168624097737522,weak_drizzling
POST,RF02_P28,RF02,1130.0,205.6005249023437,208.9912109375,36.0716667175293,-123.75154113769533,91.81849583610892,8.381008526414641,9.021905394631933,5.693237557020333,4.7713187014456055,0.9219188555747272,0.3765752029269703,0.3765752029269703,0.8557940891808353,0.0034502805535695,36.8261706392954,non_drizzling,0.008841732979664,strongly_mixed,0.4149619862926495,0.2505495190718155,0.5972137984574769,MATCHED,MYD06_L2.A2008199.2205.061.2018036015202.hdf,57.7,103.0,103.0,7.737959861755371,8.496116638183594,5.364076614379883,5.509028911590576,7.737959861755371,5.364076614379883,0.7581567764282227,0.1449522972106933,27.8045597076416,58.22799301147461,26.145631790161133,281.6999206542969,905.0,147.38565728099474,118.23887228024618,147.38565728099474,187.62485301519231,150.5204199752479,187.62485301519231,1.605184837095025,1.2877456900546074,29.14678500074855,2.0434320047029804,1.639325700171769,37.10443303994441,1.2730197529158516,non_drizzling
POST,RF03_P06,RF03,1206.0,224.3814392089844,228.5847473144532,36.2431869506836,-123.4897918701172,113.51937970146535,6.84145518015254,7.1719261363906375,7.502652942413408,7.182122144549129,0.3205307978642793,0.4675481291125859,0.4675481291125859,0.7355503308135873,0.0034982680543395,46.38422143792712,weak_drizzling,0.0265120132560066,sub_adiabatic,0.3936252575626973,0.2484112879069472,0.580880847918207,NO_GRANULE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,weak_drizzling
POST,RF03_P17,RF03,2870.0,250.15447998046875,253.3998107910156,35.588809967041016,-123.20098876953124,236.87377034127712,7.179983636915851,7.397896577090153,10.20416655647372,9.849960894836666,0.354205661637053,0.4998815592454571,0.4998815592454571,0.7833851965588049,0.0034915786325231,56.409501598589856,weak_drizzling,0.0139324277255311,sub_adiabatic,0.439908970282333,0.34200630812717,0.6742959162102958,NO_GRANULE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,weak_drizzling
POST,RF03_P26,RF03,1617.0,282.76416015625,291.5614624023437,35.647085189819336,-122.51816940307616,69.72696781158447,6.264815222847091,6.708845840406744,13.72446702686254,13.256991951267052,0.4674750755954875,0.4943984136971065,0.4943984136971065,0.8283348235849826,0.003524796317619,71.86035750742646,weak_drizzling,0.0160692212608158,sub_adiabatic,0.4907292654829269,0.1837305187069106,0.6675151178787758,NO_GRANULE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,weak_drizzling
POST,RF04_P01,RF04,300.0,481.1006164550781,481.1006164550781,36.98857498168945,-122.4229965209961,109.31971748173235,11.2374727880972,11.797669612532284,23.73326070414989,22.678127532812205,1.0551331713376868,0.3827405278147224,0.3827405278147224,0.8451812648943812,0.0032415025170804,172.07143237794625,heavy_drizzling,0.4684385382059801,strongly_mixed,0.5346375641994394,0.0,0.924367695405546,MATCHED,MOD06_L2.A2008203.1825.061.2017292174501.hdf,34.6,140.0,140.0,15.040571212768556,16.0511417388916,18.1267147064209,18.29385757446289,15.040571212768556,18.1267147064209,1.0105705261230469,0.1671428680419922,28.99145126342773,54.80533981323242,172.6999969482422,278.9659729003906,809.1071166992188,50.89374458094367,43.456375818938106,50.89374458094367,65.47986639275358,55.91095145321284,65.47986639275358,0.4655495436077043,0.3975163567926325,7.437368762005562,0.5989758105960661,0.5114443463737978,9.56891493954074,1.286599501213975,heavy_drizzling
